company,time,area,location,waste_generated,quality_grade,selling_price
Tata Group,21/04/2023,1437,Delhi,55.0,Q1,159497
Satya Papers,08/10/2021,4760,Bangalore,104.0,Q3,299490
Satya Papers,03/02/2023,3811,Bangalore,97.0,Q2,280074
Adani Group,15/10/2021,2031,Chennai,67.0,Q1,177968
Tata Group,24/03/2023,1284,Bangalore,62.0,Q2,178390
Tata Group,11/03/2022,3042,Delhi,142.0,Q3,409645
Infosys,11/08/2023,1039,Mumbai,70.0,Q2,202737
Tata Group,16/04/2021,2723,Kolkata,70.0,Q1,183921
Tata Group,23/06/2023,1244,Mumbai,37.0,Q1,105366
Adani Group,22/09/2023,3757,Chennai,60.0,Q2,157669
Infosys,13/10/2023,1634,Mumbai,98.0,Q1,281948
Tata Group,16/09/2022,4579,Chennai,55.0,Q2,145449
Infosys,27/08/2021,2894,Kolkata,61.0,Q2,160216
Infosys,02/12/2022,2236,Chennai,129.0,Q3,340841
Satya Papers,10/03/2023,1398,Mumbai,66.0,Q1,191454
Tata Group,30/06/2023,2841,Mumbai,72.0,Q2,208672
Satya Papers,28/01/2022,2241,Chennai,94.0,Q2,248354
Tata Group,22/12/2023,3718,Mumbai,66.0,Q2,188851
Satya Papers,25/06/2021,4801,Chennai,86.0,Q2,226189
Reliance Industries,17/12/2021,1466,Bangalore,71.0,Q2,204996
Satya Papers,13/01/2023,2910,Mumbai,93.0,Q2,268335
Satya Papers,26/11/2021,4526,Mumbai,115.0,Q3,330814
Tata Group,16/06/2023,2425,Delhi,64.0,Q1,184080
Adani Group,25/06/2021,3870,Delhi,93.0,Q1,268757
Satya Papers,20/05/2022,1869,Chennai,71.0,Q1,188304
Tata Group,30/06/2023,1842,Mumbai,78.0,Q2,225311
Reliance Industries,19/03/2021,4674,Kolkata,74.0,Q1,194289
Reliance Industries,22/07/2022,2192,Delhi,74.0,Q2,211725
Tata Group,07/07/2023,4287,Kolkata,94.0,Q2,247008
Adani Group,26/05/2023,4137,Mumbai,115.0,Q3,332158
Satya Papers,28/05/2021,2588,Mumbai,67.0,Q2,192620
Reliance Industries,21/05/2021,4046,Chennai,102.0,Q3,268918
Tata Group,20/01/2023,4183,Kolkata,105.0,Q3,278416
Reliance Industries,26/03/2021,3188,Mumbai,104.0,Q3,298483
Tata Group,31/12/2021,2285,Bangalore,49.0,Q1,141667
Adani Group,18/06/2021,1572,Chennai,44.0,Q1,117473
Infosys,13/01/2023,2358,Bangalore,96.0,Q2,277870
Satya Papers,15/10/2021,1703,Chennai,59.0,Q1,155386
Adani Group,30/04/2021,2449,Chennai,59.0,Q1,156014
Tata Group,30/04/2021,1533,Kolkata,62.0,Q1,164930
Infosys,14/10/2022,3411,Mumbai,71.0,Q2,205469
Infosys,07/04/2023,4369,Kolkata,100.0,Q2,263692
Satya Papers,30/06/2023,1776,Mumbai,62.0,Q2,178044
Reliance Industries,07/10/2022,2011,Kolkata,75.0,Q2,196870
Satya Papers,07/05/2021,1480,Kolkata,48.0,Q1,127649
Reliance Industries,04/06/2021,4429,Delhi,72.0,Q2,207120
Reliance Industries,22/07/2022,1798,Mumbai,73.0,Q2,209217
Infosys,05/05/2023,3211,Kolkata,102.0,Q3,268978
Reliance Industries,03/12/2021,2802,Kolkata,57.0,Q1,151697
Tata Group,28/10/2022,2925,Kolkata,77.0,Q1,203287
Reliance Industries,29/09/2023,4231,Chennai,97.0,Q1,255801
Adani Group,11/08/2023,4025,Kolkata,82.0,Q1,215329
Tata Group,08/07/2022,1710,Delhi,106.0,Q3,304835
Tata Group,01/09/2023,2235,Kolkata,92.0,Q1,243112
Adani Group,25/06/2021,2733,Chennai,90.0,Q1,238570
Infosys,04/11/2022,3594,Bangalore,104.0,Q3,300930
Reliance Industries,12/02/2021,3061,Kolkata,67.0,Q2,177184
Reliance Industries,11/06/2021,2480,Kolkata,78.0,Q1,205342
Tata Group,09/04/2021,3432,Kolkata,107.0,Q3,283602
Infosys,26/02/2021,3846,Kolkata,85.0,Q1,224073
Tata Group,29/09/2023,1135,Bangalore,44.0,Q1,125516
Reliance Industries,25/03/2022,1921,Delhi,44.0,Q1,127970
Adani Group,14/05/2021,1492,Delhi,37.0,Q1,105813
Adani Group,26/03/2021,1534,Chennai,87.0,Q2,230184
Tata Group,27/01/2023,3872,Kolkata,88.0,Q2,233591
Satya Papers,18/11/2022,4539,Kolkata,107.0,Q3,282369
Reliance Industries,24/12/2021,3142,Bangalore,53.0,Q2,151603
Reliance Industries,13/08/2021,3931,Chennai,127.0,Q3,336516
Satya Papers,28/05/2021,4615,Chennai,110.0,Q3,289727
Reliance Industries,14/10/2022,3245,Delhi,107.0,Q3,309435
Infosys,24/11/2023,4299,Kolkata,107.0,Q3,282150
Reliance Industries,05/05/2023,3008,Kolkata,103.0,Q3,271594
Adani Group,30/06/2023,2439,Delhi,71.0,Q1,205793
Infosys,24/03/2023,3253,Mumbai,105.0,Q3,303262
Tata Group,07/01/2022,1768,Delhi,24.0,Q1,67991
Reliance Industries,03/06/2022,2573,Bangalore,114.0,Q3,329455
Infosys,16/12/2022,2904,Chennai,90.0,Q1,237047
Tata Group,11/03/2022,2765,Chennai,84.0,Q1,221056
Tata Group,09/04/2021,2464,Chennai,39.0,Q1,102153
Infosys,18/06/2021,1045,Mumbai,33.0,Q1,93911
Reliance Industries,31/12/2021,2421,Kolkata,80.0,Q1,212158
Adani Group,02/04/2021,1671,Bangalore,77.0,Q2,222257
Tata Group,11/08/2023,3461,Delhi,135.0,Q3,387361
Reliance Industries,14/01/2022,4918,Bangalore,75.0,Q1,215200
Satya Papers,26/02/2021,2007,Mumbai,57.0,Q2,163725
Infosys,27/05/2022,2631,Delhi,83.0,Q1,238763
Infosys,24/02/2023,3090,Mumbai,72.0,Q2,207786
Adani Group,30/06/2023,1436,Bangalore,67.0,Q1,193851
Infosys,02/04/2021,1454,Delhi,73.0,Q1,209121
Tata Group,17/12/2021,1200,Delhi,71.0,Q1,205804
Reliance Industries,16/12/2022,3722,Mumbai,76.0,Q1,218544
Satya Papers,06/08/2021,3814,Delhi,71.0,Q2,203628
Infosys,05/11/2021,3719,Chennai,75.0,Q2,197722
Infosys,17/02/2023,3754,Mumbai,90.0,Q2,260159
Adani Group,20/10/2023,3586,Mumbai,70.0,Q2,202540
Infosys,01/09/2023,4163,Bangalore,112.0,Q3,322921
Satya Papers,24/11/2023,1328,Chennai,45.0,Q1,118207
Tata Group,20/05/2022,1364,Chennai,57.0,Q2,149795
Reliance Industries,06/01/2023,1398,Bangalore,65.0,Q1,185804
Tata Group,21/04/2023,3600,Kolkata,107.0,Q3,283427
Infosys,17/06/2022,3422,Bangalore,100.0,Q2,286605
Adani Group,15/01/2021,1307,Mumbai,58.0,Q1,167925
Tata Group,15/10/2021,1269,Chennai,41.0,Q1,107989
Satya Papers,05/02/2021,4305,Mumbai,84.0,Q2,240892
Satya Papers,15/01/2021,3204,Kolkata,76.0,Q2,200263
Reliance Industries,16/09/2022,1186,Mumbai,60.0,Q2,171521
Tata Group,08/01/2021,2894,Kolkata,83.0,Q1,218162
Reliance Industries,28/04/2023,2179,Delhi,73.0,Q1,209826
Satya Papers,14/07/2023,3943,Bangalore,89.0,Q2,257529
Reliance Industries,24/12/2021,1611,Delhi,70.0,Q2,201919
Adani Group,24/12/2021,3976,Delhi,78.0,Q2,223257
Satya Papers,18/02/2022,4324,Mumbai,104.0,Q3,300718
Tata Group,10/06/2022,3687,Chennai,82.0,Q2,217392
Satya Papers,05/02/2021,1509,Kolkata,55.0,Q1,144896
Adani Group,28/10/2022,4014,Mumbai,112.0,Q3,323729
Tata Group,08/07/2022,3346,Mumbai,75.0,Q2,216514
Infosys,22/09/2023,2052,Mumbai,62.0,Q2,179730
Satya Papers,14/07/2023,3653,Mumbai,87.0,Q2,251740
Reliance Industries,28/07/2023,2688,Delhi,93.0,Q1,269191
Adani Group,06/05/2022,2348,Chennai,95.0,Q2,250503
Tata Group,20/10/2023,3348,Kolkata,69.0,Q2,181046
Satya Papers,17/06/2022,2391,Delhi,66.0,Q1,191077
Adani Group,22/04/2022,1209,Bangalore,51.0,Q2,145798
Reliance Industries,23/06/2023,2288,Bangalore,117.0,Q3,338376
Adani Group,16/12/2022,2526,Chennai,40.0,Q1,106235
Infosys,28/05/2021,3191,Kolkata,86.0,Q2,227305
Reliance Industries,11/06/2021,4834,Kolkata,104.0,Q3,275596
Infosys,20/01/2023,1515,Kolkata,66.0,Q1,173766
Satya Papers,22/10/2021,2712,Delhi,85.0,Q1,244860
Tata Group,18/06/2021,1785,Bangalore,64.0,Q1,184869
Satya Papers,22/01/2021,2087,Chennai,97.0,Q1,256657
Adani Group,05/05/2023,1678,Mumbai,85.0,Q1,245229
Tata Group,26/08/2022,3511,Kolkata,69.0,Q1,182048
Reliance Industries,23/06/2023,4683,Chennai,112.0,Q3,294638
Satya Papers,14/04/2023,1895,Kolkata,102.0,Q3,268211
Satya Papers,12/08/2022,2479,Kolkata,54.0,Q1,141711
Satya Papers,16/06/2023,2808,Kolkata,82.0,Q1,217456
Infosys,27/01/2023,1760,Mumbai,50.0,Q1,143951
Satya Papers,08/04/2022,3174,Delhi,79.0,Q1,228277
Reliance Industries,28/05/2021,1045,Kolkata,67.0,Q2,177783
Tata Group,23/07/2021,2780,Chennai,66.0,Q1,175503
Adani Group,03/09/2021,2490,Kolkata,7.0,Q1,19675
Adani Group,13/08/2021,3352,Delhi,67.0,Q1,192966
Reliance Industries,22/07/2022,3393,Chennai,99.0,Q2,262198
Reliance Industries,12/03/2021,1700,Chennai,96.0,Q1,252841
Reliance Industries,04/02/2022,4065,Delhi,87.0,Q1,250491
Tata Group,08/04/2022,2662,Delhi,91.0,Q2,263232
Adani Group,05/02/2021,1639,Kolkata,97.0,Q2,255140
Adani Group,07/01/2022,1126,Delhi,88.0,Q1,253478
Adani Group,24/09/2021,2209,Kolkata,86.0,Q2,226278
Reliance Industries,20/08/2021,3623,Bangalore,87.0,Q1,250539
Tata Group,14/04/2023,3013,Chennai,73.0,Q1,193510
Adani Group,09/09/2022,3880,Kolkata,57.0,Q1,150485
Adani Group,17/11/2023,3887,Delhi,84.0,Q1,242460
Adani Group,30/12/2022,4354,Chennai,125.0,Q3,330843
Satya Papers,05/08/2022,4193,Kolkata,66.0,Q2,173330
Reliance Industries,08/12/2023,2328,Kolkata,71.0,Q1,187515
Infosys,02/07/2021,2375,Kolkata,71.0,Q2,186727
Tata Group,30/12/2022,3639,Chennai,84.0,Q2,223070
Adani Group,19/11/2021,3760,Kolkata,77.0,Q2,203659
Tata Group,01/10/2021,4503,Mumbai,90.0,Q2,258444
Tata Group,29/09/2023,1042,Delhi,69.0,Q1,198922
Tata Group,22/09/2023,4819,Mumbai,99.0,Q1,284149
Satya Papers,26/02/2021,4939,Delhi,106.0,Q3,304525
Reliance Industries,21/10/2022,3385,Delhi,115.0,Q3,332101
Adani Group,15/04/2022,2242,Chennai,60.0,Q2,157444
Infosys,19/03/2021,1414,Kolkata,55.0,Q2,144546
Reliance Industries,14/07/2023,2050,Mumbai,114.0,Q3,329676
Adani Group,11/08/2023,2171,Mumbai,72.0,Q2,206670
Reliance Industries,30/07/2021,4866,Bangalore,83.0,Q2,238415
Satya Papers,08/07/2022,1466,Kolkata,76.0,Q2,199860
Tata Group,22/12/2023,3617,Delhi,94.0,Q1,270698
Satya Papers,28/07/2023,1972,Kolkata,42.0,Q1,111780
Infosys,19/08/2022,1008,Bangalore,44.0,Q1,126399
Tata Group,06/08/2021,4684,Bangalore,90.0,Q1,258513
Infosys,21/05/2021,1132,Bangalore,71.0,Q2,203673
Infosys,03/11/2023,2851,Mumbai,78.0,Q1,224164
Satya Papers,22/10/2021,1254,Kolkata,53.0,Q2,140985
Tata Group,05/02/2021,1751,Kolkata,98.0,Q2,259503
Adani Group,14/04/2023,3547,Mumbai,70.0,Q2,202417
Reliance Industries,03/02/2023,4376,Chennai,53.0,Q1,139952
Satya Papers,12/11/2021,3779,Chennai,87.0,Q2,230361
Satya Papers,15/04/2022,2429,Kolkata,79.0,Q2,208289
Adani Group,14/05/2021,1852,Bangalore,85.0,Q2,244690
Reliance Industries,01/07/2022,1401,Bangalore,73.0,Q2,209388
Infosys,18/06/2021,3463,Delhi,111.0,Q3,318290
Reliance Industries,13/10/2023,1541,Bangalore,72.0,Q2,208423
Infosys,06/05/2022,2003,Bangalore,52.0,Q1,149775
Adani Group,25/03/2022,3072,Bangalore,109.0,Q3,315320
Satya Papers,01/01/2021,4589,Kolkata,145.0,Q3,383923
Tata Group,18/03/2022,2288,Kolkata,72.0,Q2,191136
Tata Group,15/09/2023,1175,Delhi,72.0,Q2,206595
Infosys,10/06/2022,3082,Chennai,102.0,Q3,268644
Adani Group,08/12/2023,2637,Mumbai,75.0,Q1,216217
Tata Group,31/12/2021,2622,Kolkata,61.0,Q2,161444
Satya Papers,09/04/2021,2440,Kolkata,77.0,Q1,202783
Infosys,20/05/2022,1551,Chennai,71.0,Q1,186626
Reliance Industries,08/09/2023,2409,Chennai,61.0,Q2,160784
Tata Group,27/05/2022,3582,Mumbai,85.0,Q1,243608
Satya Papers,30/06/2023,4345,Chennai,125.0,Q3,330365
Tata Group,30/06/2023,3078,Kolkata,97.0,Q2,256333
Satya Papers,28/01/2022,2080,Chennai,71.0,Q1,186266
Reliance Industries,08/04/2022,2436,Kolkata,55.0,Q1,144031
Infosys,01/01/2021,3102,Bangalore,75.0,Q1,216509
Tata Group,06/05/2022,2876,Mumbai,74.0,Q2,212046
Satya Papers,24/02/2023,4089,Kolkata,104.0,Q3,274202
Tata Group,01/10/2021,1075,Chennai,63.0,Q2,166683
Reliance Industries,07/05/2021,2929,Bangalore,84.0,Q2,242337
Satya Papers,28/07/2023,4420,Bangalore,93.0,Q2,268013
Adani Group,15/07/2022,2055,Mumbai,91.0,Q2,261492
Infosys,22/07/2022,3141,Mumbai,72.0,Q2,206161
Tata Group,24/09/2021,2209,Mumbai,61.0,Q2,175608
Satya Papers,28/10/2022,2980,Delhi,66.0,Q2,189114
Tata Group,13/08/2021,2823,Chennai,83.0,Q1,219496
Adani Group,22/01/2021,1146,Mumbai,69.0,Q2,198645
Infosys,30/04/2021,4678,Kolkata,76.0,Q1,201292
Infosys,18/11/2022,3928,Chennai,111.0,Q3,293535
Tata Group,28/04/2023,1733,Delhi,96.0,Q2,277093
Satya Papers,04/06/2021,4247,Chennai,71.0,Q2,187534
Satya Papers,18/11/2022,4257,Chennai,47.0,Q1,124398
Infosys,08/10/2021,4241,Mumbai,72.0,Q2,206120
Adani Group,21/10/2022,3844,Delhi,114.0,Q3,328745
Tata Group,24/06/2022,4118,Kolkata,99.0,Q1,261595
Satya Papers,02/06/2023,1847,Mumbai,76.0,Q1,218493
Satya Papers,19/11/2021,2975,Delhi,79.0,Q1,228090
Adani Group,08/12/2023,4384,Delhi,77.0,Q2,220746
Satya Papers,01/04/2022,2463,Bangalore,91.0,Q2,262425
Adani Group,10/11/2023,4366,Bangalore,112.0,Q3,322779
Tata Group,30/09/2022,2725,Delhi,57.0,Q2,164578
Reliance Industries,17/09/2021,1155,Delhi,89.0,Q1,255520
Reliance Industries,13/01/2023,1156,Bangalore,20.0,Q1,56882
Satya Papers,11/02/2022,4089,Bangalore,41.0,Q1,119242
Adani Group,02/04/2021,4066,Delhi,87.0,Q1,251230
Reliance Industries,30/12/2022,2532,Bangalore,81.0,Q1,232567
Infosys,08/07/2022,3267,Mumbai,86.0,Q2,246973
Reliance Industries,15/10/2021,4699,Chennai,112.0,Q3,294809
Tata Group,22/07/2022,4272,Bangalore,102.0,Q3,293002
Adani Group,17/11/2023,2844,Delhi,122.0,Q3,351406
Adani Group,20/10/2023,3695,Kolkata,79.0,Q2,207286
Satya Papers,10/09/2021,3146,Kolkata,101.0,Q3,265470
Satya Papers,08/12/2023,4633,Kolkata,111.0,Q3,292700
Satya Papers,25/06/2021,3387,Delhi,70.0,Q1,201982
Tata Group,14/07/2023,1625,Kolkata,51.0,Q1,134896
Satya Papers,16/07/2021,1549,Kolkata,71.0,Q2,186918
Tata Group,22/09/2023,1127,Chennai,69.0,Q1,181302
Reliance Industries,03/02/2023,4533,Mumbai,92.0,Q1,265851
Adani Group,29/01/2021,1908,Delhi,108.0,Q3,310652
Tata Group,17/02/2023,4110,Mumbai,125.0,Q3,360985
Reliance Industries,01/04/2022,4597,Bangalore,89.0,Q1,256552
Adani Group,21/04/2023,2419,Mumbai,74.0,Q2,212304
Adani Group,04/06/2021,1853,Mumbai,48.0,Q1,138975
Infosys,07/01/2022,2072,Kolkata,61.0,Q2,159861
Infosys,18/11/2022,1682,Bangalore,48.0,Q1,137038
Tata Group,10/12/2021,2798,Delhi,97.0,Q1,279328
Reliance Industries,14/04/2023,1254,Kolkata,63.0,Q2,166209
Adani Group,24/11/2023,2347,Bangalore,84.0,Q2,240717
Infosys,25/02/2022,4031,Delhi,120.0,Q3,344678
Reliance Industries,16/09/2022,2943,Kolkata,96.0,Q1,252339
Tata Group,13/01/2023,3048,Delhi,100.0,Q3,288432
Infosys,17/06/2022,3556,Delhi,110.0,Q3,318165
Tata Group,10/03/2023,2502,Mumbai,43.0,Q1,123386
Satya Papers,19/03/2021,2910,Chennai,64.0,Q1,168200
Infosys,26/11/2021,3015,Mumbai,67.0,Q1,192474
Tata Group,23/04/2021,1097,Kolkata,35.0,Q1,91384
Satya Papers,12/08/2022,1763,Kolkata,84.0,Q2,222406
Adani Group,29/10/2021,1283,Bangalore,69.0,Q2,199737
Satya Papers,05/08/2022,2732,Kolkata,89.0,Q2,235416
Reliance Industries,26/03/2021,3129,Delhi,91.0,Q1,262399
Adani Group,25/08/2023,4514,Delhi,81.0,Q2,232333
Infosys,13/08/2021,3610,Chennai,43.0,Q1,113599
Tata Group,01/04/2022,1961,Mumbai,102.0,Q3,293232
Adani Group,27/05/2022,4054,Bangalore,90.0,Q1,259999
Satya Papers,05/08/2022,2535,Bangalore,61.0,Q2,176820
Reliance Industries,04/11/2022,1001,Mumbai,80.0,Q1,231538
Satya Papers,09/07/2021,1992,Mumbai,75.0,Q2,215493
Tata Group,07/10/2022,4622,Chennai,86.0,Q2,227279
Satya Papers,26/03/2021,2076,Chennai,107.0,Q3,281889
Reliance Industries,26/02/2021,3068,Mumbai,116.0,Q3,332695
Satya Papers,06/08/2021,3806,Kolkata,69.0,Q1,181013
Adani Group,11/03/2022,4382,Delhi,78.0,Q1,223566
Satya Papers,19/05/2023,4700,Bangalore,84.0,Q1,242447
Reliance Industries,14/05/2021,3567,Delhi,52.0,Q1,150163
Adani Group,08/12/2023,3580,Bangalore,55.0,Q1,157408
Infosys,20/05/2022,1273,Kolkata,50.0,Q1,132084
Adani Group,26/08/2022,2567,Chennai,84.0,Q1,220587
Reliance Industries,29/10/2021,2089,Mumbai,75.0,Q1,216931
Satya Papers,24/11/2023,4153,Mumbai,76.0,Q1,219745
Tata Group,11/06/2021,3614,Delhi,83.0,Q1,240213
Reliance Industries,22/04/2022,4496,Mumbai,48.0,Q1,137046
Adani Group,25/08/2023,3176,Bangalore,110.0,Q3,316334
Reliance Industries,15/07/2022,3147,Bangalore,85.0,Q2,244638
Infosys,28/10/2022,4678,Mumbai,101.0,Q3,292248
Infosys,01/12/2023,4303,Bangalore,64.0,Q1,185365
Satya Papers,24/02/2023,2415,Kolkata,75.0,Q2,198342
Satya Papers,15/10/2021,2177,Chennai,44.0,Q1,116606
Adani Group,10/06/2022,4061,Chennai,109.0,Q3,287056
Reliance Industries,08/04/2022,3558,Delhi,86.0,Q1,247582
Tata Group,19/08/2022,4708,Bangalore,55.0,Q2,157294
Infosys,22/07/2022,3166,Mumbai,95.0,Q1,273166
Adani Group,03/09/2021,4950,Delhi,122.0,Q3,351223
Tata Group,28/01/2022,2428,Bangalore,59.0,Q2,169773
Tata Group,15/10/2021,2067,Chennai,32.0,Q1,83231
Satya Papers,03/11/2023,4042,Delhi,82.0,Q2,237511
Reliance Industries,07/04/2023,1138,Mumbai,71.0,Q2,204938
Infosys,18/02/2022,4485,Mumbai,115.0,Q3,330773
Infosys,18/02/2022,4492,Kolkata,121.0,Q3,320324
Reliance Industries,09/07/2021,4930,Mumbai,107.0,Q3,308238
Infosys,09/04/2021,3137,Delhi,98.0,Q1,281892
Reliance Industries,18/02/2022,2224,Kolkata,77.0,Q1,202095
Infosys,30/07/2021,3067,Kolkata,93.0,Q2,245253
Tata Group,25/08/2023,1547,Chennai,74.0,Q1,196127
Adani Group,24/02/2023,4163,Delhi,59.0,Q1,169144
Satya Papers,04/06/2021,2978,Kolkata,109.0,Q3,288187
Adani Group,24/09/2021,1575,Mumbai,56.0,Q2,159973
Infosys,11/03/2022,2421,Mumbai,49.0,Q1,141470
Adani Group,11/08/2023,1785,Kolkata,66.0,Q1,175437
Infosys,29/07/2022,1311,Chennai,60.0,Q2,159062
Infosys,06/10/2023,3792,Chennai,100.0,Q2,263490
Reliance Industries,05/03/2021,1289,Bangalore,52.0,Q1,148862
Reliance Industries,31/12/2021,1042,Bangalore,39.0,Q1,112341
Adani Group,26/08/2022,1948,Delhi,83.0,Q1,238588
Tata Group,12/02/2021,3033,Bangalore,68.0,Q1,196546
Adani Group,14/01/2022,1134,Kolkata,79.0,Q2,207497
Adani Group,18/02/2022,3465,Delhi,88.0,Q2,252555
Tata Group,16/06/2023,2219,Kolkata,100.0,Q3,264021
Tata Group,07/05/2021,1993,Kolkata,86.0,Q2,226245
Satya Papers,03/06/2022,4814,Chennai,102.0,Q3,268523
Tata Group,27/01/2023,2774,Bangalore,56.0,Q2,161180
Satya Papers,08/12/2023,2915,Bangalore,100.0,Q3,288170
Adani Group,07/01/2022,1412,Chennai,65.0,Q2,171356
Infosys,19/08/2022,2876,Delhi,56.0,Q1,161816
Reliance Industries,23/07/2021,2474,Mumbai,69.0,Q2,198062
Tata Group,08/12/2023,1171,Bangalore,77.0,Q1,220763
Infosys,27/01/2023,2694,Delhi,103.0,Q3,296487
Infosys,29/07/2022,3194,Kolkata,76.0,Q1,199502
Reliance Industries,28/01/2022,4365,Bangalore,113.0,Q3,324244
Adani Group,20/10/2023,3935,Delhi,82.0,Q2,235805
Reliance Industries,07/01/2022,2482,Delhi,49.0,Q1,140774
Adani Group,04/03/2022,3511,Kolkata,90.0,Q1,238374
Satya Papers,27/08/2021,3808,Bangalore,80.0,Q2,229396
Tata Group,15/10/2021,1818,Bangalore,65.0,Q2,186992
Adani Group,18/02/2022,3477,Mumbai,82.0,Q2,237380
Reliance Industries,16/12/2022,2055,Bangalore,92.0,Q2,265200
Adani Group,01/01/2021,2071,Kolkata,111.0,Q3,294186
Tata Group,11/03/2022,4493,Kolkata,88.0,Q1,232497
Tata Group,28/04/2023,1215,Kolkata,34.0,Q1,89242
Reliance Industries,24/03/2023,3303,Delhi,98.0,Q2,282350
Reliance Industries,16/04/2021,4649,Chennai,113.0,Q3,298362
Infosys,03/02/2023,3416,Bangalore,122.0,Q3,350790
Reliance Industries,27/10/2023,2921,Bangalore,83.0,Q2,239513
Tata Group,18/03/2022,2683,Chennai,46.0,Q1,122300
Adani Group,27/10/2023,2660,Mumbai,76.0,Q1,218803
Infosys,01/10/2021,1063,Kolkata,62.0,Q1,164293
Tata Group,30/06/2023,2996,Kolkata,67.0,Q1,178068
Adani Group,19/03/2021,1425,Mumbai,57.0,Q2,163706
Satya Papers,10/02/2023,3818,Delhi,68.0,Q1,196812
Satya Papers,01/01/2021,2769,Kolkata,82.0,Q1,215358
Reliance Industries,20/10/2023,3316,Mumbai,52.0,Q2,150991
Reliance Industries,03/06/2022,2769,Chennai,100.0,Q3,264704
Satya Papers,14/04/2023,3341,Chennai,75.0,Q2,198779
Satya Papers,31/12/2021,2908,Mumbai,100.0,Q2,287810
Adani Group,01/01/2021,4892,Kolkata,101.0,Q3,267843
Satya Papers,27/08/2021,2215,Kolkata,62.0,Q1,163075
Reliance Industries,01/10/2021,2588,Bangalore,80.0,Q2,231243
Adani Group,10/09/2021,2586,Chennai,70.0,Q2,185731
Infosys,10/11/2023,1568,Kolkata,82.0,Q2,216461
Adani Group,09/09/2022,2632,Kolkata,101.0,Q3,266316
Satya Papers,01/10/2021,1491,Kolkata,69.0,Q2,182307
Adani Group,17/09/2021,1355,Chennai,63.0,Q1,166030
Satya Papers,31/03/2023,4211,Kolkata,97.0,Q2,256986
Satya Papers,23/04/2021,3763,Delhi,108.0,Q3,310204
Satya Papers,04/03/2022,4878,Kolkata,114.0,Q3,300628
Infosys,09/07/2021,3176,Kolkata,129.0,Q3,341732
Tata Group,15/01/2021,3285,Bangalore,77.0,Q1,220521
Infosys,07/04/2023,3650,Bangalore,63.0,Q2,180877
Adani Group,05/03/2021,3785,Bangalore,95.0,Q1,273123
Infosys,14/07/2023,4751,Mumbai,87.0,Q1,250730
Satya Papers,28/05/2021,4957,Chennai,77.0,Q2,202284
Infosys,31/03/2023,2771,Bangalore,111.0,Q3,319227
Adani Group,12/02/2021,1608,Mumbai,60.0,Q1,172690
Satya Papers,16/07/2021,1545,Delhi,46.0,Q1,133293
Tata Group,17/09/2021,3620,Kolkata,54.0,Q1,141933
Infosys,18/11/2022,1030,Delhi,47.0,Q1,136143
Satya Papers,09/06/2023,4102,Bangalore,120.0,Q3,344639
Satya Papers,24/09/2021,4507,Chennai,108.0,Q3,285488
Tata Group,05/03/2021,3959,Chennai,93.0,Q1,245357
Satya Papers,27/10/2023,3015,Delhi,99.0,Q1,285556
Infosys,12/02/2021,4451,Kolkata,122.0,Q3,321903
Infosys,28/04/2023,2610,Delhi,100.0,Q2,286706
Adani Group,23/07/2021,3912,Bangalore,87.0,Q2,251334
Satya Papers,17/03/2023,4589,Kolkata,137.0,Q3,360863
Tata Group,04/02/2022,1323,Mumbai,49.0,Q1,139964
Satya Papers,03/03/2023,1078,Kolkata,22.0,Q1,57415
Infosys,25/02/2022,1603,Bangalore,62.0,Q2,179340
Infosys,02/12/2022,3566,Kolkata,53.0,Q2,140026
Infosys,25/08/2023,1564,Delhi,49.0,Q1,142048
Tata Group,05/08/2022,1629,Chennai,35.0,Q1,92246
Tata Group,18/11/2022,1928,Delhi,76.0,Q1,220306
Satya Papers,23/12/2022,4591,Kolkata,110.0,Q3,289857
Reliance Industries,14/04/2023,3573,Bangalore,100.0,Q3,289354
Reliance Industries,21/01/2022,4968,Delhi,79.0,Q1,226232
Tata Group,17/09/2021,4811,Delhi,102.0,Q3,293624
Tata Group,15/12/2023,4997,Mumbai,105.0,Q3,303067
Reliance Industries,13/01/2023,2458,Kolkata,87.0,Q1,228635
Adani Group,23/12/2022,2610,Delhi,77.0,Q2,222183
Tata Group,25/11/2022,1422,Bangalore,82.0,Q1,235641
Satya Papers,27/05/2022,3789,Kolkata,92.0,Q1,243128
Infosys,26/03/2021,1432,Delhi,74.0,Q1,214218
Infosys,18/02/2022,2415,Kolkata,77.0,Q1,203779
Adani Group,05/03/2021,1283,Mumbai,32.0,Q1,92589
Satya Papers,11/02/2022,1519,Delhi,74.0,Q2,213465
Reliance Industries,19/05/2023,3931,Delhi,89.0,Q2,257133
Satya Papers,15/10/2021,3787,Chennai,142.0,Q3,373974
Reliance Industries,06/01/2023,3544,Chennai,56.0,Q2,148845
Satya Papers,23/12/2022,3615,Chennai,118.0,Q3,311067
Adani Group,04/08/2023,4588,Chennai,99.0,Q1,261932
Reliance Industries,01/12/2023,4365,Chennai,81.0,Q2,212863
Satya Papers,01/10/2021,1584,Kolkata,56.0,Q1,149055
Adani Group,12/05/2023,2671,Mumbai,66.0,Q1,191108
Reliance Industries,19/02/2021,1023,Kolkata,40.0,Q1,105351
Tata Group,02/04/2021,2863,Delhi,79.0,Q2,226253
Adani Group,08/10/2021,1856,Delhi,89.0,Q1,255567
